Stock,ReturnYear,Age3,Age4,Age6,Age5
Summer_Chinook,1992,3862,5310,287,3816
Summer_Chinook,1993,1405,7495,335,6180
Summer_Chinook,1994,1673,5809,356,8503
Summer_Chinook,1995,1634,3736,795,7917
Summer_Chinook,1996,1335,7565,1019,3466
Summer_Chinook,1997,1828,14057,192,3454
Summer_Chinook,1998,2293,5423,857,9236
Summer_Chinook,1999,2905,10816,683,10325
Summer_Chinook,2000,10450,12053,160,10382
Summer_Chinook,2001,11840,42226,1711,8969
Summer_Chinook,2002,6141,48671,137,40715
Summer_Chinook,2003,10058,31185,3390,48498
Summer_Chinook,2004,9501,24729,3595,37451
Summer_Chinook,2005,3439,35162,1830,23280
Summer_Chinook,2006,3407,28539,3896,45138
Summer_Chinook,2007,10053,12703,2926,21406
Summer_Chinook,2008,6821,42871,889,11773
Summer_Chinook,2009,22264,29094,1239,23545
Summer_Chinook,2010,11957,57086,1328,13993
Summer_Chinook,2011,35359,32613,716,47203
Summer_Chinook,2012,9608,48534,1,9765
Summer_Chinook,2013,17211,35338,746,31468
Summer_Chinook,2014,19028,32065,4194,41996
Summer_Chinook,2015,12906,77721,11806,37355
Summer_Chinook,2016,7960,24089,6607,60351
Summer_Chinook,2017,7066,28758,11716,27731
Summer_Chinook,2018,3242,28440,308,13372
Summer_Chinook,2019,6521,18966,785,14805
Summer_Chinook,2020,8874,50532,219,14715
Summer_Chinook,2021,9686,29912,178,26710
Summer_Chinook,2022,10777,53561,1265,23618
