Brood Year,Age3,Age4,Age5,Age6,Stock
1978,"2,757","31,616","40,290",550,Upriver_spring_Chinook
1979,"8,367","22,621","17,819",0,Upriver_spring_Chinook
1980,"2,474","33,988","24,950",0,Upriver_spring_Chinook
1981,"5,007","67,334","37,267",222,Upriver_spring_Chinook
1982,"8,732","91,146","39,213",0,Upriver_spring_Chinook
1983,"5,852","71,337","57,264",757,Upriver_spring_Chinook
1984,"3,842","48,740","21,508",319,Upriver_spring_Chinook
1985,"4,807","67,766","23,398",647,Upriver_spring_Chinook
1986,"6,981","81,998","40,326",0,Upriver_spring_Chinook
1987,"2,433","23,506","18,115",538,Upriver_spring_Chinook
1988,"4,376","77,576","73,807",229,Upriver_spring_Chinook
1989,"2,477","45,618","10,900",256,Upriver_spring_Chinook
1990,"1,518","12,966","3,710",0,Upriver_spring_Chinook
1991,624,"8,826","1,726",0,Upriver_spring_Chinook
1992,"2,780","53,825","16,576",0,Upriver_spring_Chinook
1993,"5,311","107,745","21,171",111,Upriver_spring_Chinook
1994,"1,061","23,137","4,451",0,Upriver_spring_Chinook
1995,"1,160","38,505","7,423",422,Upriver_spring_Chinook
1996,"9,808","179,293","40,662",114,Upriver_spring_Chinook
1997,"24,363","398,801","48,745","1,049",Upriver_spring_Chinook
1998,"17,055","286,447","144,491",458,Upriver_spring_Chinook
1999,"8,288","97,065","15,237","1,070",Upriver_spring_Chinook
2000,"17,558","205,980","19,783","1,395",Upriver_spring_Chinook
2001,"12,273","86,057","22,786","1,049",Upriver_spring_Chinook
2002,"5,344","108,402","28,626",663,Upriver_spring_Chinook
2003,"3,856","56,568","20,101","1,205",Upriver_spring_Chinook
2004,"20,239","157,863","28,145",12,Upriver_spring_Chinook
2005,"22,354","139,945","7,754",23,Upriver_spring_Chinook
2006,"81,782","307,580","38,287",272,Upriver_spring_Chinook
2007,"16,258","182,848","22,947","1,037",Upriver_spring_Chinook
2008,"67,038","179,870","32,164",427,Upriver_spring_Chinook
2009,"10,219","89,936","23,428",747,Upriver_spring_Chinook
2010,"42,795","218,779","23,162","1,292",Upriver_spring_Chinook
2011,"32,408","265,084","60,559","1,313",Upriver_spring_Chinook
2012,"18,138","125,964","15,905",268,Upriver_spring_Chinook
2013,"14,019","98,603","10,111",173,Upriver_spring_Chinook
2014,"21,692","104,702","13,072",80,Upriver_spring_Chinook
2015,"7,563","59,860","6,927",148,Upriver_spring_Chinook
2016,"9,092","74,294","14,717",340,Upriver_spring_Chinook
2017,"7,953","76,871","14,594",,Upriver_spring_Chinook
2018,"15,592","170,275",,,Upriver_spring_Chinook
2019,"23,957",,,,Upriver_spring_Chinook
